Country_origen;Year;Quantity;Import;Type;Valor_euro
Thailand;2018;97774;Germany;Otros productos con cacao;980787
Turkey;2018;386110;Germany;Otros productos con cacao;1220076
Croatia;2018;17479;Germany;Otros productos con cacao;58970
Denmark;2018;477534;Germany;Otros productos con cacao;2256749
Slovakia;2018;2633;Germany;Otros productos con cacao;4801
Ukraine;2018;4249;Germany;Otros productos con cacao;9459
Australia;2018;1767;Germany;Chocolates o bombones;13562
Austria;2018;1888736;Germany;Chocolates o bombones;7612804
Belgium;2018;908908;Germany;Chocolates o bombones;4295926
Colombia;2018;461;Germany;Chocolates o bombones;8881
Croatia;2018;18089;Germany;Chocolates o bombones;66383
Denmark;2018;227801;Germany;Chocolates o bombones;2163173
Ecuador;2018;5687;Germany;Chocolates o bombones;54982
Slovenia;2018;4723;Germany;Otros productos con cacao;6111
United Arab Emirates;2018;219;Germany;Chocolates o bombones;9627
Slovakia;2018;470;Germany;Chocolates o bombones;3076
Slovenia;2018;45;Germany;Chocolates o bombones;382
Spain;2018;61611;Germany;Chocolates o bombones;446831
United States;2018;4703;Germany;Chocolates o bombones;64649
Finland;2018;187308;Germany;Chocolates o bombones;1382932
France;2018;2510662;Germany;Chocolates o bombones;13843126
Poland;2018;849441;Germany;Otros productos con cacao;5694523
Portugal;2018;1572;Germany;Otros productos con cacao;7378
United Kingdom;2018;631221;Germany;Otros productos con cacao;3914058
Czech Republic;2018;160956;Germany;Otros productos con cacao;1624451
Romania;2018;248492;Germany;Otros productos con cacao;1513333
Canada;2018;3574;Germany;Otros productos con cacao;28587
China;2018;14;Germany;Otros productos con cacao;440
Cyprus;2018;54;Germany;Otros productos con cacao;394
Other;2018;108;Germany;Otros productos con cacao;2670
Denmark;2018;1063020;Germany;Otros productos con cacao;4743521
Slovakia;2018;1;Germany;Otros productos con cacao;16
Slovenia;2018;552031;Germany;Otros productos con cacao;1586341
Other;2018;3226;Germany;Otros productos con cacao;9200
Ireland;2018;8678;Germany;Otros productos con cacao;64282
Israel;2018;249;Germany;Otros productos con cacao;2163
Italy;2018;261299;Germany;Otros productos con cacao;1422652
Other;2018;182;Germany;Otros productos con cacao;543
Other;2018;47122;Germany;Otros productos con cacao;76778
Latvia;2018;5163;Germany;Otros productos con cacao;15811
Lithuania;2018;102627;Germany;Otros productos con cacao;337515
Luxembourg;2018;10237;Germany;Otros productos con cacao;46516
Macedonia;2018;316;Germany;Otros productos con cacao;821
Norway;2018;70;Germany;Otros productos con cacao;711
Russia;2018;34528;Germany;Otros productos con cacao;134833
Serbia;2018;5829;Germany;Otros productos con cacao;19092
Sweden;2018;1006671;Germany;Otros productos con cacao;5473359
Switzerland;2018;20915948;Germany;Otros productos con cacao;113214340
Other;2018;763;Germany;Chocolates o bombones;2969
Other;2018;100;Germany;Chocolates o bombones;743
Other;2018;1540;Germany;Chocolates o bombones;5119
Brazil;2018;21;Germany;Chocolates o bombones;563
Bulgaria;2018;20217;Germany;Chocolates o bombones;80376
Canada;2018;572;Germany;Chocolates o bombones;18012
China;2018;884;Germany;Chocolates o bombones;8584
Other;2018;0;Germany;Chocolates o bombones;1
South Africa;2018;352;Germany;Chocolates o bombones;2113
Sweden;2018;282801;Germany;Chocolates o bombones;1140019
Switzerland;2018;3077688;Germany;Chocolates o bombones;20836648
Other;2018;45;Germany;Chocolates o bombones;942
Other;2018;27;Germany;Chocolates o bombones;304
Turkey;2018;33728;Germany;Chocolates o bombones;234015
Austria;2018;627891;Germany;Otros productos con cacao;2463636
Belgium;2018;261062;Germany;Otros productos con cacao;1124855
Cyprus;2018;104;Germany;Chocolates o bombones;787
Other;2018;33090;Germany;Otros productos con cacao;101598
Spain;2018;15184;Germany;Otros productos con cacao;170576
United States;2018;167582;Germany;Otros productos con cacao;999348
Estonia;2018;30299;Germany;Otros productos con cacao;49350
Finland;2018;183690;Germany;Otros productos con cacao;861085
France;2018;9234405;Germany;Otros productos con cacao;29219372
Greece;2018;1044;Germany;Otros productos con cacao;5637
Other;2018;100;Germany;Chocolates o bombones;700
Ireland;2018;3082;Germany;Chocolates o bombones;18779
Iceland;2018;16;Germany;Chocolates o bombones;956
Israel;2018;247;Germany;Chocolates o bombones;1602
Norway;2018;20;Germany;Chocolates o bombones;174
New Zealand;2018;3;Germany;Chocolates o bombones;222
Netherlands;2018;1956305;Germany;Chocolates o bombones;11414074
Poland;2018;2822803;Germany;Chocolates o bombones;19831789
Portugal;2018;16;Germany;Chocolates o bombones;310
United Kingdom;2018;182918;Germany;Chocolates o bombones;1354960
Czech Republic;2018;4718953;Germany;Chocolates o bombones;22086457
Romania;2018;344616;Germany;Chocolates o bombones;3135189
Russia;2018;7095;Germany;Chocolates o bombones;40102
Serbia;2018;15300;Germany;Chocolates o bombones;42266
Other;2018;455;Germany;Chocolates o bombones;5933
Thailand;2018;6854;Germany;Otros productos con cacao;145147
Turkey;2018;79310;Germany;Otros productos con cacao;751798
Luxembourg;2018;27834;Germany;Chocolates o bombones;159925
Other;2018;12;Germany;Chocolates o bombones;166
Mexico;2018;300;Germany;Chocolates o bombones;1641
Ecuador;2018;598;Germany;Chocolates o bombones;5323
United Arab Emirates;2018;88;Germany;Chocolates o bombones;2078
Slovakia;2018;184940;Germany;Chocolates o bombones;971455
Slovenia;2018;393;Germany;Chocolates o bombones;735
Spain;2018;50263;Germany;Chocolates o bombones;404024
United States;2018;4951;Germany;Chocolates o bombones;49379
Estonia;2018;421;Germany;Chocolates o bombones;3476
Finland;2018;1861;Germany;Chocolates o bombones;8802
France;2018;601840;Germany;Chocolates o bombones;4414063
Italy;2018;717079;Germany;Chocolates o bombones;5334697
Japan;2018;19;Germany;Chocolates o bombones;250
Other;2018;2;Germany;Chocolates o bombones;16
Other;2018;9;Germany;Chocolates o bombones;125
Lithuania;2018;31607;Germany;Chocolates o bombones;170900
Austria;2018;3655;Germany;Cacao en grano;22963
Belgium;2018;71251437;Germany;Cacao en grano;169184640
Other;2018;140;Germany;Cacao en grano;3165
Bulgaria;2018;4142;Germany;Cacao en grano;45335
Other;2018;1156512;Germany;Cacao en grano;2324903
Colombia;2018;388;Germany;Cacao en grano;1650
Ivory Coast;2018;114860005;Germany;Cacao en grano;233182367
Other;2018;12380;Germany;Cacao en grano;46386
Denmark;2018;150;Germany;Cacao en grano;625
Ecuador;2018;10885587;Germany;Cacao en grano;22952502
Spain;2018;16391;Germany;Cacao en grano;22152
United States;2018;368;Germany;Cacao en grano;1383
France;2018;249342;Germany;Cacao en grano;345335
Ghana;2018;33646552;Germany;Cacao en grano;71454306
Other;2018;160172;Germany;Cacao en grano;507162
Greece;2018;10;Germany;Cacao en grano;49
Guatemala;2018;3060;Germany;Cacao en grano;14850
Other;2018;70132;Germany;Cacao en grano;117434
Other;2018;9957;Germany;Cacao en grano;16716
Other;2018;60;Germany;Cacao en grano;548
India;2018;3;Germany;Cacao en grano;17
Indonesia;2018;49930;Germany;Cacao en grano;333957
Italy;2018;385629;Germany;Cacao en grano;1040892
Other;2018;609703;Germany;Cacao en grano;1392971
Mexico;2018;6;Germany;Cacao en grano;69
Other;2018;14268;Germany;Cacao en grano;42582
Other;2018;39480138;Germany;Cacao en grano;71167240
Netherlands;2018;190518762;Germany;Cacao en grano;408266728
Other;2018;306521;Germany;Cacao en grano;987374
Other;2018;246604;Germany;Cacao en grano;602818
Peru;2018;1037758;Germany;Cacao en grano;3356786
Portugal;2018;272;Germany;Cacao en grano;866
United Kingdom;2018;577305;Germany;Cacao en grano;1341636
Czech Republic;2018;926;Germany;Cacao en grano;2219
Other;2018;293468;Germany;Cacao en grano;648185
Other;2018;1327578;Germany;Cacao en grano;2856726
Other;2018;126000;Germany;Cacao en grano;375880
Other;2018;1342974;Germany;Cacao en grano;2166647
Other;2018;3762;Germany;Cacao en grano;32797
Switzerland;2018;13151;Germany;Cacao en grano;76926
Other;2018;23533;Germany;Cacao en grano;49495
Other;2018;229011;Germany;Cacao en grano;460844
Other;2018;74786;Germany;Cacao en grano;375470
Other;2018;119776;Germany;Cacao en grano;324074
Other;2018;505414;Germany;Cacao en grano;1280773
Vietnam;2018;476;Germany;Cacao en grano;2359
Austria;2018;215050;Germany;Cáscara, películas y demás desechos de cacao;56689
Belgium;2018;25200;Germany;Cáscara, películas y demás desechos de cacao;882
Other;2018;20000;Germany;Cáscara, películas y demás desechos de cacao;21718
Colombia;2018;12621;Germany;Cáscara, películas y demás desechos de cacao;5886
Ivory Coast;2018;60000;Germany;Cáscara, películas y demás desechos de cacao;10000
Denmark;2018;11274;Germany;Cáscara, películas y demás desechos de cacao;6250
Spain;2018;310;Germany;Cáscara, películas y demás desechos de cacao;235
United States;2018;38564;Germany;Cáscara, películas y demás desechos de cacao;48322
Ghana;2018;100;Germany;Cáscara, películas y demás desechos de cacao;257
Indonesia;2018;11899;Germany;Cáscara, películas y demás desechos de cacao;7133
