centro_operacion,regional,unidad_negocio,condicion_pago,cupo_credito,max_prestamo,min_prestamo,max_pago,total_prestamos,total_pagado,debe,promedio_prestamos,promedio_pagado,promedio_debe,dias_promedio_pago,dias_mora_promedio,max_mora,min_mora,antiguedad,corriente,de_1_30,de_30_60,de_60_90,mayor_90,saldo_final,con_saldos_a_favor,sin_saldos_a_favor,porcentaje_h_pago_a_tiempo,porcentaje_h_1_30,porcentaje_h_30_60,porcentaje_h_60_90,porcentaje_h_mayor_90,porcentaje_total_h,mora_de_1_30,mora_de_30_60,mora_de_60_90,mora_mayor_90
PITALITO,DC,GRN,CTD,"0,00","298692,00","3320,00","298692,00","288522,00","302012,00","-13490,00","144261,00","151006,00","-6745,00",62,62,62,62,1047,"0,00","0,00","0,00","0,00","-13490,00","-13490,00","-13490,00","0,00","0,00","0,00","0,00","100,00","0,00","100,00",0,0,0,0
SIBERIA,DC,GRN,30D,"500000,00","11273145,11","189200,00","11273145,11","62091975,46","63170863,46","-1078888,00","955261,1609","971859,4378","-16598,2769",40,18,376,-31,1045,"0,00","0,00","0,00","-1078888,00","0,00","-1078888,00","-1078888,00","0,00","36,11","57,05","0,29","0,00","6,53","100,00",0,0,0,0
FUSAGASUGA VD,DC,CIL,30D,"2000000,00","5693994,79","196828,00","1001480,00","30285750,50","27846650,50","2439100,00","522168,112","480114,6637","42053,4482",68,39,268,-9,1037,"0,00","226850,00","1149050,00","223800,00","839400,00","2439100,00","2439100,00","2439100,00","8,79","46,76","23,13","18,20","3,08","100,00",1,1,1,1
SIBERIA,DC,GRN,CTD,"0,00","3343,80","3343,80","3343,80","3343,80","3343,80","0,00","3343,80","3343,80","0,00",81,81,81,81,878,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","100,00",0,0,0,0
SIBERIA,DC,GRN,30D,"700000,00","1227400,00","100000,00","699671,02","6144256,42","5271080,10","873176,32","384016,0262","329442,5062","54573,52",74,44,111,-30,878,"179920,00","-2100,00","700000,00","0,00","-4643,68","693256,32","873176,32","879920,00","39,97","0,00","0,00","28,67","31,34","100,00",0,1,0,0
SIBERIA,DC,GRN,30D,"800000,00","1238078,00","247230,00","849265,76","15638342,60","14323341,62","1315000,98","539253,1931","493908,3317","45344,8613",59,29,95,-10,878,"0,00","409541,00","444500,00","460959,98","0,00","1315000,98","1315000,98","1315000,98","12,44","33,72","28,02","22,32","3,48","100,00",1,1,1,0
SIBERIA,DC,GRN,30D,"2400000,00","1450539,20","135511,20","942710,36","39551012,95","34063119,96","5487892,99","411989,7182","354824,1662","57165,5519",44,13,100,-22,878,"1752792,00","891374,00","1397517,00","1039519,99","406690,00","3735100,99","5487892,99","5487892,99","38,16","43,69","0,79","12,68","4,66","100,00",1,1,1,1
SIBERIA,DC,GRN,30D,"2100000,00","15865898,10","238057,60","961622,82","36307593,12","31718797,15","4588795,97","378204,095","330404,1369","47799,958",41,10,135,-31,878,"703630,00","752054,00","1606636,97","1075229,99","451245,01","3885165,97","4588795,97","4588795,97","40,46","43,82","5,13","3,23","7,33","100,00",1,1,1,1
SIBERIA,DC,GRN,30D,"22900000,00","8894236,60","2330146,00","9159736,06","99517925,89","96280130,89","3237795,00","3554211,6389","3438576,1032","115635,5357",63,32,95,-7,878,"0,00","3237795,00","0,00","0,00","0,00","3237795,00","3237795,00","3237795,00","9,23","40,95","27,31","19,21","3,27","100,00",1,0,0,0
SIBERIA,DC,GRN,CTD,"0,00","3293,20","3293,20","3293,20","3293,20","3293,20","0,00","3293,20","3293,20","0,00",50,50,50,50,878,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","100,00",0,0,0,0
SIBERIA,DC,GRN,30D,"800000,00","1223426,70","271953,00","746393,42","10380592,37","8915533,85","1465058,52","494313,9223","424549,2309","69764,6914",72,41,165,-7,878,"0,00","466488,00","0,00","523599,98","474970,54","1465058,52","1465058,52","1465058,52","10,40","29,32","29,49","24,28","6,48","100,00",1,0,1,1
OFICINA CENTRAL,OC,ADM,08D,"0,00","275000,00","30000,00","275000,00","1080000,00","1080000,00","0,00","216000,00","216000,00","0,00",6,8,21,-5,3699,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
SINCELEJO,DN,CIL,CTD,"1,00","565600,00","565600,00","389760,00","389760,00","389760,00","0,00","389760,00","389760,00","0,00",0,-30,-30,-30,4293,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
SIBERIA,DC,GRN,CTD,"0,00","126252,00","126252,00","126252,00","126252,00","126252,00","0,00","126252,00","126252,00","0,00",6,6,6,6,1045,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","100,00",0,0,0,0
SANTA ROSA DE OSOS,DS,CIL,CTD,"0,00","514800,00","27000,00","504504,00","5483884,00","5483884,00","0,00","203106,8148","203106,8148","0,00",3,-41,-39,-45,2703,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","0,00","100,00",0,0,0,0
SIBERIA,DC,GRN,30D,"25800000,00","24628579,18","3229956,35","11663399,55","107500136,38","101169385,20","6330751,18","7166675,7586","6744625,68","422050,0786",62,36,130,-12,1043,"0,00","6330751,18","0,00","0,00","0,00","6330751,18","6330751,18","6330751,18","7,62","27,52","50,64","7,10","7,10","100,00",1,0,0,0
SIBERIA,DC,GRN,30D,"15000000,00","6493222,00","449995,18","3011138,62","150595982,64","142852351,56","7743631,08","1149587,6537","1090475,9661","59111,6876",44,15,129,-9,1043,"4271705,62","3513305,64","-1849,63","-7989,84","-31540,71","3471925,46","7743631,08","7785011,26","5,11","90,58","4,29","0,00","0,00","100,00",1,0,0,0
CUCUTA,DN,CIL,CTD,"0,00","6230640,00","2412,00","6230640,00","17314044,67","17334044,67","-20000,00","721418,5279","722251,8612","-833,3333",16,15,111,-15,1039,"0,00","0,00","0,00","0,00","-20000,00","-20000,00","-20000,00","0,00","0,89","62,54","0,00","0,57","35,98","100,00",0,0,0,0
MANIZALES,DS,GRN,CTD,"0,00","851700,00","13500,00","851700,00","3489474,33","3489474,33","0,00","317224,939","317224,939","0,00",1,-7,19,-30,1039,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","60,52","39,47","0,00","0,00","0,00","100,00",0,0,0,0
YUMBO,DS,GRN,CTD,"0,00","3504,50","2579,40","3504,50","6083,90","6083,90","0,00","3041,95","3041,95","0,00",287,287,334,240,1039,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","100,00",0,0,0,0
OFICINA CENTRAL,OC,ADM,08D,"0,00","96900,00","2900,00","96900,00","3284945,98","3284945,98","0,00","43799,2797","43799,2797","0,00",3,5,27,0,2535,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","57,41","42,58","0,00","0,00","0,00","100,00",0,0,0,0
BELLO,DS,GRN,30D,"2900000,00","3232787,00","65270,04","1774369,64","25850281,16","25814409,44","35871,72","478708,9103","478044,6192","664,2911",54,24,71,-4,1038,"62922,02","1544092,96","-1551661,42","-19481,84","0,00","-27050,30","35871,72","1607014,98","0,48","57,31","41,84","0,34","0,00","100,00",1,0,0,0
SIBERIA,DC,GRN,30D,"3000000,00","3757466,14","164254,40","2008324,73","41800448,92","40459174,22","1341274,70","1229424,9682","1189975,7123","39449,2558",36,6,42,-19,1038,"1341274,70","0,00","0,00","0,00","0,00","0,00","1341274,70","1341274,70","6,20","89,24","4,54","0,00","0,00","100,00",0,0,0,0
SIBERIA,DC,CIL,30D,"200000,00","215759,60","183832,40","214685,10","3378318,30","3180056,76","198261,54","198724,6058","187062,1623","11662,4435",40,10,43,2,360,"198261,54","0,00","0,00","0,00","0,00","0,00","198261,54","198261,54","0,00","87,52","12,47","0,00","0,00","100,00",0,0,0,0
SIBERIA,DC,ADM,30D,"1,00","406633,71","406633,71","406633,71","406633,71","406633,71","0,00","406633,71","406633,71","0,00",42,11,11,11,67,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00","0,00","0,00","100,00",0,0,0,0
